sqft,bedrooms,bathrooms,age_years,location_score,price
2482,2,1.7,61.3,7.0,373900
1342,2,1.7,56.2,1.3,183700
885,3,1.0,26.5,4.3,239100
788,3,2.3,54.1,9.8,216000
2194,3,1.8,31.7,4.8,368700
968,5,3.2,60.5,5.5,257900
2941,3,3.3,36.3,9.2,478900
450,3,1.4,33.0,7.5,183400
2903,4,3.5,74.8,6.2,508000
1937,3,2.1,20.1,8.2,351900
1737,4,2.7,9.6,8.8,337700
1446,2,2.3,46.8,5.1,266400
2059,3,2.5,77.5,5.3,311000
1776,1,1.5,30.2,4.5,254600
2517,2,2.4,5.0,9.7,432100
1874,5,3.3,27.1,7.3,339700
1898,2,1.3,40.5,1.7,291800
1564,3,1.5,13.0,8.8,314600
1763,3,1.7,52.6,5.3,306200
2000,3,4.4,79.8,1.6,309000
688,5,4.4,36.1,5.9,211000
924,1,1.0,28.4,4.8,157700
2283,4,2.0,32.1,8.9,387300
1911,6,4.4,9.2,2.8,391300
1680,4,3.3,70.7,8.4,352700
1812,5,3.9,33.2,6.0,342900
2026,2,1.5,31.0,1.5,307600
1449,3,2.2,52.8,9.7,291000
1294,3,2.5,35.4,5.6,287700
1927,4,3.0,51.9,3.6,372100
1164,6,2.5,4.9,5.2,271600
2065,3,2.1,65.1,8.7,348300
693,4,2.3,75.2,3.7,155500
2469,2,1.8,51.9,2.7,378700
2107,4,5.0,76.4,2.2,381500
1966,3,2.6,12.1,3.7,353500
2439,6,3.9,38.2,8.0,398200
2883,4,3.5,48.1,5.2,455000
2459,3,2.6,46.5,3.0,352200
603,2,2.0,32.1,2.5,188600
968,2,2.1,27.0,4.0,172200
1394,2,3.1,10.1,9.5,289300
1817,3,1.5,31.3,4.1,310600
2136,5,3.8,13.0,9.9,407800
1328,4,2.3,58.7,5.4,250500
1921,3,2.7,16.7,2.6,297200
1309,2,1.1,4.7,9.0,278800
1403,5,3.2,44.2,5.1,344800
886,4,2.7,47.6,7.4,205600
1200,2,2.4,69.8,9.9,271200
921,4,3.5,46.2,1.5,223000
1166,3,1.4,27.6,1.9,193500
2485,2,1.7,64.2,7.5,332600
1183,3,1.8,43.2,3.5,233900
3511,3,1.4,6.3,2.7,494700
2121,2,1.5,45.3,1.4,367400
1920,5,3.3,72.6,1.2,325500
1242,5,5.2,31.7,8.0,280500
2255,4,3.2,23.7,2.2,337900
1426,3,1.3,11.5,5.2,303800
1879,3,1.9,12.1,6.5,343700
3464,4,3.6,34.6,4.9,527200
1738,3,3.8,47.7,1.2,302100
2547,2,1.0,6.4,8.1,382000
1343,3,1.0,75.2,1.1,201800
1777,4,4.2,60.4,7.9,385300
2951,3,2.6,46.9,9.0,504000
1392,2,1.1,66.3,4.9,257700
2978,4,3.3,6.4,5.8,494500
2260,2,1.0,38.1,5.3,341500
1434,3,2.3,50.4,4.5,246200
2211,2,1.9,66.3,9.0,335200
2432,3,2.9,62.7,9.0,435900
2204,4,2.2,22.2,4.0,489100
779,3,2.4,75.3,6.5,154500
1327,2,1.1,9.9,9.3,276100
1639,5,3.7,70.0,9.7,319800
1752,5,2.9,77.7,5.6,316800
2203,5,3.2,14.2,5.1,420500
1916,3,1.6,57.8,3.5,293900
932,3,2.8,3.2,9.6,331400
2047,6,4.7,32.4,2.3,385500
2197,4,2.7,41.3,6.2,304400
2164,1,1.1,46.5,3.5,316800
2503,2,1.0,74.9,3.5,319800
2342,3,2.1,53.8,4.6,318600
2098,5,3.5,38.5,10.0,377100
1754,3,4.1,64.8,1.5,355000
720,3,1.5,76.0,6.2,180300
2079,2,2.7,1.8,1.7,358900
1935,4,3.6,78.6,2.4,308800
1977,4,3.1,6.9,5.0,346900
970,3,3.5,65.2,5.6,201300
1097,4,3.2,22.4,3.3,239300
2485,6,4.4,10.6,3.8,431700
1774,2,1.7,35.2,1.8,247600
2243,3,3.2,51.5,3.7,293900
1818,3,3.1,30.5,9.7,392000
1819,4,2.5,4.4,9.5,418500
2410,4,2.0,48.0,4.0,340100
1465,4,2.8,72.2,6.1,208800
1862,4,2.3,30.7,9.2,408500
1500,3,2.3,17.3,1.1,276300
1518,5,4.4,35.4,8.3,384200
1599,3,2.0,3.9,9.5,319700
1944,2,1.7,65.6,1.8,218100
1489,4,2.9,66.1,2.5,312500
2616,4,3.5,47.0,9.6,494700
1219,3,1.0,28.2,5.8,173200
1679,5,3.1,64.0,1.1,286200
1514,5,3.6,44.4,3.3,331900
2741,3,3.1,66.1,5.0,400800
1928,6,3.8,50.5,7.2,470200
2471,2,1.0,62.8,7.6,398100
834,2,2.1,47.9,10.0,205900
1974,2,1.3,33.1,3.6,295400
2378,5,2.7,76.6,5.8,413700
1853,4,2.5,43.3,5.8,214100
2493,2,1.6,48.4,4.7,352800
1464,3,1.9,17.6,2.5,251800
2716,4,1.4,50.1,9.8,423400
3294,2,2.3,45.7,8.7,473500
1564,5,4.4,14.8,5.5,364900
1510,4,3.4,4.8,6.4,311500
2745,3,1.5,48.3,3.0,336100
2827,6,4.0,61.1,5.9,585700
1460,3,2.3,41.9,7.3,349000
1527,6,4.5,18.1,5.6,388700
1617,4,3.4,53.3,9.9,407700
926,4,2.4,6.4,6.5,270400
1203,2,1.8,35.3,4.3,211100
1147,5,3.8,13.1,7.9,285000
1301,3,3.3,14.8,2.5,249200
1777,2,2.2,16.2,4.5,335800
1952,1,1.7,30.9,4.1,278000
2808,4,3.0,4.1,4.9,445500
1151,3,3.3,31.8,8.0,265500
2440,4,3.2,40.9,5.4,390500
1661,5,2.9,38.7,8.1,320400
1768,2,2.7,30.6,6.2,327400
2239,4,3.4,67.1,4.1,316800
1070,2,1.4,11.6,8.3,225800
2049,5,3.2,40.5,3.1,370900
1908,4,3.1,5.0,3.0,427100
2120,3,2.6,5.7,5.5,376200
1988,4,3.0,45.9,3.3,330200
3396,3,2.5,45.3,1.1,545600
1385,3,3.5,70.2,6.8,364500
1455,4,3.7,44.6,5.6,269600
1395,3,2.4,76.8,5.0,206500
1439,3,3.0,3.9,9.7,354200
1386,3,1.6,7.8,6.1,309700
2573,4,3.2,3.5,8.8,475700
2723,3,3.6,14.8,2.3,490500
1429,2,1.5,43.3,6.1,259200
1259,4,2.3,51.6,8.8,251400
2106,4,2.4,3.6,6.2,302900
1441,2,1.0,75.7,7.5,245700
2211,3,1.8,67.4,4.3,419300
1932,2,1.4,23.7,1.8,235400
815,3,1.3,6.2,5.1,227900
2806,3,2.3,13.6,4.6,415500
2967,4,3.5,10.2,8.8,561900
1402,4,2.3,9.9,3.2,267200
1548,4,4.0,41.5,9.7,310800
1986,3,2.7,19.7,9.6,446400
2017,5,4.2,28.7,3.2,421100
2228,3,1.8,79.2,4.1,333900
3107,6,4.7,54.7,9.1,580300
1685,4,2.1,75.9,9.7,322900
1281,2,2.3,11.4,5.0,228800
903,4,3.0,30.6,3.9,217800
1325,3,2.7,44.4,5.7,295800
1778,4,2.1,6.1,7.2,311000
2966,2,1.1,0.3,3.5,403600
1464,2,2.1,53.6,7.6,320600
1945,5,2.8,51.3,1.5,293200
1789,2,2.0,32.9,1.4,242000
2572,5,2.5,39.2,4.5,309000
3443,3,2.9,33.2,4.2,576900
1455,4,2.0,1.9,3.8,237500
1482,4,3.3,26.8,5.4,245300
2479,3,2.7,14.2,3.9,442200
2243,3,1.8,7.9,2.7,435100
3000,2,2.1,76.5,3.8,431900
2180,1,1.3,47.9,9.8,360900
1566,3,1.9,58.3,4.7,284600
2184,4,2.2,25.2,5.0,383600
2521,5,2.1,31.5,6.2,412600
2333,5,3.7,19.0,9.9,494700
2130,4,1.8,7.8,3.2,372300
2493,4,3.0,14.3,7.1,447900
2560,4,2.7,63.8,7.4,463400
2698,3,2.8,54.2,6.5,450000
2222,5,3.3,43.8,1.8,458000
1691,4,2.7,38.0,7.1,299900
1895,4,3.4,73.8,1.6,291900
2584,2,1.9,5.8,6.4,393700
1269,3,2.5,22.4,7.7,303000
2040,3,2.6,28.0,2.9,326000
1544,5,2.4,62.6,8.6,282800
1819,3,2.8,79.4,1.3,220300
2631,3,2.7,19.3,8.6,461600
1924,6,3.4,69.9,5.1,344300
1830,2,1.5,66.4,3.0,287100
916,3,2.3,18.0,2.2,233400
2285,1,1.0,31.9,9.6,423800
2220,4,3.1,32.8,1.7,381400
3206,5,4.5,78.3,2.8,476200
1600,3,3.1,14.5,4.1,250900
1942,5,2.6,63.9,6.6,407200
1962,3,2.7,26.7,5.9,379300
2825,5,4.4,58.5,2.1,462300
1738,4,3.2,33.6,3.6,352700
1981,4,3.7,46.3,3.1,401300
2195,1,2.5,66.6,2.9,294200
1921,6,4.8,64.3,4.7,366600
1510,4,3.1,69.3,7.3,308800
1926,3,3.0,4.8,3.0,354800
2498,4,3.0,55.4,4.3,369600
1133,3,2.3,11.2,4.5,242700
1886,5,3.3,33.3,9.8,405100
1345,2,2.8,43.9,9.6,286300
2577,4,2.3,32.2,8.2,430400
810,3,3.4,41.6,3.2,169500
1437,2,2.0,79.7,1.6,250600
2045,3,1.3,10.8,3.9,380800
2818,1,1.4,54.0,3.4,294600
1757,3,1.0,31.7,5.6,349300
1439,3,2.7,10.6,8.0,293100
3023,4,3.5,12.7,8.7,547200
859,3,1.9,75.9,8.6,184600
450,3,2.4,70.4,4.2,106400
2086,4,4.3,72.6,7.2,374400
1474,1,1.0,79.3,3.8,264300
1136,5,2.8,16.7,1.5,201100
2260,5,4.5,28.4,7.3,468400
1958,4,4.3,53.5,1.1,348400
1433,4,2.9,38.7,4.7,293500
968,5,4.2,33.5,4.0,250100
2367,2,2.6,28.6,7.2,375400
2223,2,1.2,47.5,7.9,384200
1736,3,2.0,46.0,3.7,297900
3000,4,3.8,12.9,8.3,589100
1104,1,2.3,37.7,3.6,171200
808,4,3.3,44.3,5.0,237900
1350,6,3.5,45.6,7.5,352800
1770,5,4.9,16.8,7.2,387300
1958,3,1.9,59.4,9.9,313200
1643,2,1.5,2.0,3.0,250200
2029,5,3.7,28.4,7.0,424700
986,4,4.0,62.4,6.5,282600
2738,2,2.3,45.1,9.2,408300
1747,2,2.0,20.9,2.4,302500
2526,5,3.8,55.6,7.8,396600
2023,4,2.9,45.4,6.1,356400
2097,4,3.3,63.7,3.5,368800
2170,5,1.7,58.8,5.3,335700
2091,4,2.7,48.8,4.0,340200
2218,3,2.5,39.1,6.2,386000
2664,3,1.5,10.7,9.0,413000
1928,3,2.6,20.9,6.1,346200
2261,3,2.2,33.5,6.7,400800
1742,4,4.1,47.9,5.7,292300
2736,4,4.0,41.1,1.5,436500
1360,5,3.2,23.1,3.1,239000
2971,3,2.2,0.5,5.4,453200
1774,4,2.8,39.7,3.8,309000
870,4,2.6,22.9,2.6,246900
1883,4,3.0,58.8,5.5,317800
1357,4,2.4,1.9,3.9,251000
2346,3,1.5,46.8,3.3,258100
1376,3,2.7,75.3,5.2,237300
1510,2,2.1,14.0,2.2,334600
572,3,1.7,37.7,9.3,192500
1506,3,2.9,7.3,8.8,306600
450,4,2.5,50.1,7.4,210400
770,6,4.3,44.0,2.0,182100
2294,4,3.5,32.6,8.0,440700
2311,4,2.9,41.7,8.3,450700
2077,3,2.6,71.7,7.9,286900
1171,4,2.5,15.7,2.0,157400
1769,2,1.6,1.8,6.8,276100
1798,3,2.2,68.9,8.5,347400
1047,3,1.8,46.2,6.2,241700
2777,3,2.2,71.3,6.8,407400
2370,1,1.0,47.8,5.1,341700
1656,2,1.4,64.8,5.8,296200
1817,3,2.1,34.4,1.3,296200
1935,6,3.9,60.0,6.8,410700
473,3,2.1,73.0,1.7,83700
1639,3,2.3,45.8,4.9,257200
1357,2,2.0,14.5,3.6,278700
1149,4,3.5,21.5,5.9,242400
1617,3,1.8,15.9,2.2,240000
2968,2,1.0,19.7,7.2,474600
2217,3,1.6,24.5,8.2,425600
1429,1,1.0,44.4,2.5,215100
2172,1,1.0,47.0,1.9,345900
